year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
1989	1	1	15.6	 	4.4	 	181.2	 	4.79	 	31.3	 	21	 	25.2	 	100	 	100	 	100	 	25.2	 	----	M	0.02	 	36.6	 	33.8	 	35.2	 	41.2	 	38.5	 	39.9	 													llc
1989	1	2	14.2	 	4.6	 	270.6	 	3.39	 	32	 	26.6	 	28.6	 	100	 	97.9	 	99.9	 	28.6	 	----	M	0.02	 	36.7	 	34	 	35.4	 	41.2	 	38.5	 	39.9	 													llc
1989	1	3	34.4	 	11.4	 	274.9	 	10.36	 	38.4	 	25.6	 	33.6	 	100	 	69	 	90.6	 	31.1	 	----	M	0.06	 	36.8	 	33.6	 	35.4	 	41.3	 	38.6	 	39.9	 													llc
1989	1	4	19.4	 	6.2	 	158.5	 	10.67	 	32.7	 	16.3	 	25.2	 	98	 	70.5	 	91.1	 	22.8	 	----	M	0.05	 	36.1	 	32.5	 	34	 	41.1	 	37.8	 	39.4	 													llc
1989	1	5	19.2	 	6.6	 	149.3	 	1.48	 	38.5	 	30.8	 	35.2	 	100	 	92.3	 	98.4	 	34.7	 	----	M	0.01	 	35	 	32.1	 	33.6	 	40.1	 	37	 	38.7	 													llc
1989	1	6	10.6	 	3.7	 	1	 	1.68	 	38.3	 	35.4	 	36.5	 	100	 	100	 	100	 	36.5	 	----	M	0.01	 	37.5	 	32.2	 	35.1	 	41.2	 	37	 	39	 													llc
1989	1	7	39.3	 	11.5	 	218.1	 	3.04	 	61.8	 	25.8	 	45.9	 	100	 	82.9	 	98.5	 	45.5	 	----	M	0.02	 	45.4	 	35.1	 	39.7	 	45.6	 	38.9	 	41.9	 													llc
1989	1	8	36.1	 	15.6	 	249.7	 	6.75	 	26.1	 	20.6	 	23.4	 	90.6	 	45	 	60.9	 	11.7	 	----	M	0.03	 	40.9	 	32.4	 	35.2	 	45.2	 	38.4	 	41.2	 													llc
1989	1	9	28.8	 	7.4	 	171.6	 	11.08	 	33.3	 	14.6	 	25.7	 	97.6	 	51.9	 	78.5	 	19.6	 	----	M	0.05	 	34.8	 	31.6	 	33.1	 	40.7	 	37.2	 	38.8	 													llc
1989	1	10	20.5	 	6.7	 	177	 	9.95	 	42.9	 	28.2	 	34.2	 	100	 	73.7	 	91.5	 	31.8	 	----	M	0.06	 	34	 	31.5	 	32.7	 	39.5	 	36.8	 	38.1	 													llc
1989	1	11	25.5	 	7.4	 	124.2	 	3.39	 	44.2	 	30.2	 	37.9	 	100	 	98.9	 	100	 	37.9	 	----	M	0.02	 	34	 	31.4	 	32.7	 	39.1	 	36.3	 	37.9	 													llc
1989	1	12	28.9	 	10.1	 	291.6	 	10.98	 	46	 	26.6	 	34	 	100	 	63	 	88.6	 	30.9	 	----	M	0.06	 	36.3	 	31.4	 	33.6	 	40.1	 	36.3	 	38.3	 													llc
1989	1	13	8.6	 	2.9	 	188	 	11.91	 	38.2	 	20.9	 	29.5	 	100	 	45.1	 	83.9	 	24.6	 	----	M	0.06	 	35.1	 	31.8	 	33.3	 	40	 	37	 	38.5	 													llc
1989	1	14	18.7	 	6.3	 	188.1	 	2.78	 	34.7	 	28	 	31.5	 	100	 	89.2	 	98.3	 	31.1	 	----	M	0.01	 	34.3	 	31.7	 	33.1	 	39.3	 	36.8	 	38.1	 													llc
1989	1	15	17.1	 	7.1	 	252.2	 	10.49	 	39.6	 	30.1	 	34	 	100	 	88.2	 	97.7	 	33.3	 	----	M	0.06	 	34.3	 	31.7	 	33.1	 	39.3	 	36.7	 	37.9	 													llc
1989	1	16	24	 	9.7	 	203.5	 	11.49	 	46.5	 	29.7	 	37.2	 	99.4	 	38.7	 	76.5	 	29.7	 	----	M	0.07	 	34.5	 	31.8	 	33.1	 	39.3	 	36.8	 	37.9	 													llc
1989	1	17	21	 	8.2	 	197.1	 	11.3	 	49	 	33.6	 	41.2	 	97.3	 	57	 	84.6	 	36.7	 	----	M	0.07	 	37.3	 	31.9	 	34.2	 	40.9	 	36.9	 	38.5	 													llc
1989	1	18	31.7	 	10.5	 	253.5	 	11.52	 	52.1	 	30.7	 	42.8	 	99.5	 	44.4	 	77.2	 	35.6	 	----	M	0.08	 	40.9	 	34.1	 	36.9	 	42.7	 	38.3	 	40.3	 													llc
1989	1	19	30.4	 	9.7	 	236.9	 	10.62	 	57.3	 	29.8	 	43.5	 	100	 	37.6	 	72	 	34	 	----	M	0.08	 	39.9	 	33.3	 	36.3	 	42.7	 	38.5	 	40.5	 													llc
